,energy,tempo,danceability,playlist_genre,loudness,liveness,valence,time_signature,speechiness,track_popularity,track_id,track_name,track_album_release_date,instrumentalness,mode,key,duration_ms,acousticness,playlist_subgenre
0,0.592,157.969,0.521,pop,-7.777,0.122,0.535,3,0.0304,100,2plbrEY59IikOBgBGLjaoe,Die With A Smile,2024-08-16,0.0,0,6,251668,0.308,mainstream
1,0.507,104.978,0.747,pop,-10.171,0.117,0.438,4,0.0358,97,6dOtVTDdiauQNBQEDOtlAB,BIRDS OF A FEATHER,2024-05-17,0.0608,1,2,210373,0.2,mainstream
2,0.808,108.548,0.554,pop,-4.169,0.159,0.372,4,0.0368,93,7ne4VBA60CxGM75vw0EYad,That’s So True,2024-10-18,0.0,1,1,166300,0.214,mainstream
3,0.91,112.966,0.67,pop,-4.07,0.304,0.786,4,0.0634,81,1d7Ptw3qYcfpdLNL5REhtJ,Taste,2024-08-23,0.0,0,0,157280,0.0939,mainstream
4,0.783,149.027,0.777,pop,-4.477,0.355,0.939,4,0.26,98,5vNRhkKd0yEAg8suGBpjeY,APT.,2024-10-18,0.0,0,0,169917,0.0283,mainstream
5,0.582,116.712,0.7,pop,-5.96,0.0881,0.785,4,0.0356,94,0WbMK4wrZ1wFSty9F7FCgu,"Good Luck, Babe!",2024-04-05,0.0,0,11,218424,0.0502,mainstream
6,0.561,150.069,0.669,pop,-6.538,0.0954,0.841,4,0.0411,88,6MzofobZt2dm0Kf1hTThFz,Diet Pepsi,2024-08-09,0.00962,1,10,169698,0.495,mainstream
7,0.247,148.101,0.467,pop,-12.002,0.17,0.126,4,0.0431,93,3QaPy1KgI7nu9FJEQUgn6h,WILDFLOWER,2024-05-17,0.000271,0,6,261467,0.612,mainstream
8,0.416,94.926,0.492,pop,-10.439,0.203,0.297,4,0.0254,71,0UYnhUfnUj5adChuAXvLUB,Sailor Song,2024-07-26,8.61e-05,1,11,211979,0.686,mainstream
9,0.722,119.973,0.769,pop,-5.485,0.111,0.57,4,0.0507,92,1Es7AUAhQvapIcoh3qMKDL,Timeless (with Playboi Carti),2024-09-27,2.56e-06,0,11,256000,0.0584,mainstream
